Image,z=0,z=1,z=2,z=3,z=4,z=5,z=6,z=7,z=8
7998.pgm,0,9,490,1823,3174,5473,4605,809,1
7999.pgm,0,49,707,1686,3880,5572,3595,890,5
8.pgm,6,258,1260,2145,3736,3454,4428,1096,1
80.pgm,0,41,276,582,1554,3972,8173,1786,0
800.pgm,73,1423,1747,1520,2303,3442,4745,1125,6
8000.pgm,0,13,728,2596,4286,4369,3433,957,2
8001.pgm,0,0,11,58,179,538,1619,10779,3200
8002.pgm,0,3,71,147,473,817,1891,11747,1235
8003.pgm,0,2,20,166,460,723,2434,11970,609
8004.pgm,0,3,61,346,491,766,2690,11448,579
8005.pgm,0,14,73,77,273,340,1446,12124,2037
8006.pgm,0,20,135,384,744,1160,3784,9180,977
8007.pgm,1,55,306,581,1011,1222,4340,8434,434
8008.pgm,0,0,69,151,603,922,1711,12628,300
8009.pgm,0,0,24,132,692,1072,1731,12537,196
801.pgm,0,390,3025,4525,5220,2021,760,443,0
8010.pgm,0,0,28,119,614,923,1750,12729,221
8011.pgm,8,82,542,564,462,508,1660,8920,3638
8012.pgm,7,58,450,419,318,623,2128,10031,2350
8013.pgm,0,33,88,256,419,519,1407,12828,834
8014.pgm,1,76,344,692,823,1033,3232,9723,460
8015.pgm,1,78,257,523,1204,1842,3692,7715,1072
8016.pgm,0,10,130,212,452,995,1726,12013,846
8017.pgm,1,86,647,1121,1483,1947,2763,8046,290
8018.pgm,0,0,0,1,48,321,2788,12615,611
8019.pgm,0,2,108,432,815,536,2243,12002,246
802.pgm,2,218,1165,3621,6883,2825,1509,161,0
8020.pgm,0,0,0,0,0,0,1585,14698,101
8021.pgm,0,0,0,0,1,8,1852,14434,89
8022.pgm,0,1,258,2175,4247,4577,4688,437,1
8023.pgm,0,23,406,2246,4291,3633,3127,2591,67
8024.pgm,0,1,207,2022,4454,4560,4636,504,0
8025.pgm,0,34,579,2917,4145,2785,2742,3154,28
8026.pgm,0,4,158,573,2480,4254,1694,7126,95
8027.pgm,52,127,665,1912,3639,3784,3280,1483,1442
8028.pgm,0,184,1084,760,1323,2022,3752,7119,140
8029.pgm,0,193,1115,731,1280,2060,3658,7178,169
803.pgm,0,105,2015,4721,3154,2206,2718,1450,15
8030.pgm,1,256,1128,905,1456,2175,3292,7023,148
8031.pgm,12,592,864,745,1498,2297,2991,7191,194
8032.pgm,201,891,2766,2995,3064,3433,2753,281,0
8033.pgm,22,292,1177,2436,2989,3599,4285,1582,2
8034.pgm,37,486,1318,2697,2879,3565,4003,1397,2
8035.pgm,86,1622,3819,4916,2855,1442,911,732,1
8036.pgm,24,599,447,595,454,933,5519,7780,33
8037.pgm,3,276,1494,2437,2212,3320,3441,3165,36
8038.pgm,5,163,1399,2844,2813,2839,3768,2510,43
8039.pgm,0,34,361,755,1468,3458,6917,3292,99
804.pgm,0,41,244,608,696,1113,6654,7003,25
8040.pgm,4,99,245,501,868,1704,4539,8172,252
8041.pgm,0,14,359,1154,1412,1654,5774,5979,38
8042.pgm,2,139,548,1610,2841,2685,2996,5526,37
8043.pgm,0,46,440,947,1410,3346,5229,4906,60
8044.pgm,0,56,479,874,1163,2155,4879,6714,64
8045.pgm,6,136,713,2660,5393,3169,1964,2209,134
8046.pgm,5,63,473,1113,1309,1175,1187,8626,2433
8047.pgm,6,49,142,548,1164,1424,1355,6390,5306
8048.pgm,0,11,56,372,778,1005,825,10272,3065
8049.pgm,0,2,78,311,563,923,1538,11241,1728
805.pgm,0,125,1473,3430,2947,2375,3644,1187,1203
8050.pgm,0,3,172,441,320,854,3741,10392,461
8051.pgm,0,8,156,238,251,221,1455,13284,771
8052.pgm,0,2,105,179,318,679,998,13527,576
8053.pgm,5,89,404,1275,2051,3148,7950,1165,297
8054.pgm,0,23,419,1227,1333,1388,5809,6154,31
8055.pgm,0,73,517,1262,1424,1632,6387,5064,25
8056.pgm,0,59,663,2158,3747,5961,3612,93,91
8057.pgm,0,29,284,788,1142,2547,2798,8733,63
8058.pgm,0,2,144,733,1033,1203,4336,8872,61
8059.pgm,39,304,438,842,2106,2998,4228,5386,43
806.pgm,0,183,3083,8062,4175,663,161,56,1
8060.pgm,43,269,459,820,2027,3127,4968,4609,62
8061.pgm,48,222,586,1122,1992,4399,3882,4111,22
8062.pgm,1,75,712,2514,3816,4643,4062,560,1
8063.pgm,21,417,1233,3691,5963,3058,1627,353,21
8064.pgm,12,393,1062,2855,4968,4253,2033,801,7
8065.pgm,5,295,1328,3395,2372,2776,5336,875,2
8066.pgm,4,539,2201,4833,6056,1728,860,161,2
8067.pgm,2,353,1255,1398,1711,1756,3030,6508,371
8068.pgm,44,727,1666,4810,5046,2670,1209,199,13
8069.pgm,2,147,1559,4036,4489,3525,2036,557,33
807.pgm,0,11,417,1531,2988,4763,5588,1086,0
8070.pgm,4,636,1986,1950,1666,1727,2275,6099,41
8071.pgm,39,325,1551,3412,3467,2668,2971,1107,844
8072.pgm,3,100,314,668,1768,3749,4414,4828,540
8073.pgm,11,157,514,1418,2847,3849,3234,4202,152
8074.pgm,13,762,3699,4419,2992,1635,1388,1327,149
8075.pgm,19,825,3778,4517,3074,1493,1197,1343,138
8076.pgm,37,1300,3632,2685,1682,1681,2559,2659,149
8077.pgm,0,1,72,405,998,2075,6594,6215,24
8078.pgm,0,192,531,899,1775,2420,4521,5983,63
8079.pgm,0,1,113,653,2224,4508,7230,1653,2
808.pgm,0,69,155,193,1326,5801,7460,1380,0
8080.pgm,2,118,475,776,1517,3653,5450,4386,7
8081.pgm,4,232,684,1675,4672,3344,2284,3482,7
8082.pgm,0,255,1943,4283,3701,2306,1894,1870,132
8083.pgm,4,318,788,1737,2402,2698,2713,5714,10
8084.pgm,27,443,1500,2606,2854,2656,2217,4078,3
8085.pgm,7,149,2171,3639,2616,2633,3066,2099,4
8086.pgm,2,97,1513,3444,3200,3105,3176,1842,5
8087.pgm,9,217,841,2774,2705,3068,4165,2602,3
8088.pgm,3,789,3310,2714,1805,1473,1841,4440,9
8089.pgm,36,1467,3160,1884,1264,1218,1722,5583,50
809.pgm,17,440,1666,3309,4392,2850,2305,1130,275
8090.pgm,39,1568,3034,1629,1028,1006,1794,6244,42
8091.pgm,33,574,713,599,626,835,2100,10778,126
8092.pgm,0,798,2216,1514,1223,2246,3058,4954,375
8093.pgm,0,4,21,62,230,1116,4001,10460,490
8094.pgm,0,2,37,174,634,1245,3848,10078,366
8095.pgm,1,56,249,469,577,834,4087,10035,76
8096.pgm,0,60,220,445,657,935,3086,9849,1132
8097.pgm,15,18,82,152,313,682,3118,10426,1578
8098.pgm,1,39,61,158,452,710,3031,11257,675
8099.pgm,0,39,41,196,504,961,6351,8256,36
81.pgm,0,132,1086,2602,4187,4266,3248,863,0
810.pgm,2,46,25,81,414,2108,10325,3368,15
8100.pgm,0,39,45,181,538,729,3269,10984,599
8101.pgm,0,0,26,122,448,1020,3033,11051,684
8102.pgm,0,2,31,142,369,669,6009,9149,13
8103.pgm,0,0,0,13,20,79,4701,11522,49
8104.pgm,0,0,1,11,16,177,5113,11042,24
8105.pgm,0,0,0,8,35,259,4520,11509,53
8106.pgm,5,45,67,182,317,413,1078,12069,2208
8107.pgm,1,39,48,67,207,410,784,11527,3301
8108.pgm,8,42,74,151,308,434,1060,12096,2211
8109.pgm,6,65,108,254,340,473,1660,12078,1400
811.pgm,2,195,847,1567,3500,4648,4908,709,8
8110.pgm,44,116,66,106,283,618,2006,11630,1515
8111.pgm,30,132,100,180,376,963,2482,10535,1586
8112.pgm,3,142,171,253,637,1104,2942,9050,2082
8113.pgm,0,0,0,1,340,12679,3361,3,0
8114.pgm,0,0,0,4,169,6381,9677,153,0
8115.pgm,0,0,0,9,128,1861,12847,1539,0
8116.pgm,0,0,0,3,28,259,3649,12385,60
8117.pgm,0,0,0,0,8,134,5424,10797,21
8118.pgm,0,0,0,0,1,108,6929,9341,5
8119.pgm,0,0,31,861,5679,7214,2568,31,0
812.pgm,18,473,1491,3456,4395,2987,2033,1133,398
8120.pgm,0,39,210,1119,1679,1842,7785,3707,3
8121.pgm,0,0,2,16,39,160,7064,9089,14
8122.pgm,0,9,76,22,26,186,10627,5435,3
8123.pgm,0,0,49,238,262,818,7727,7281,9
8124.pgm,0,0,180,513,785,1142,8444,5319,1
8125.pgm,0,27,314,935,3890,4817,2681,3690,30
8126.pgm,0,4,238,957,3874,3806,6151,1354,0
8127.pgm,0,48,900,2126,3179,3861,5205,1065,0
8128.pgm,0,84,996,1533,1432,3614,6719,2006,0
8129.pgm,0,87,1138,1936,3226,4576,5171,250,0
813.pgm,17,598,1216,1156,2530,5060,4942,865,0
8130.pgm,0,91,1093,1468,1793,4409,6502,1028,0
8131.pgm,0,282,1014,1995,4178,3679,2551,2683,2
8132.pgm,2,477,1557,4189,3844,1497,1563,3252,3
8133.pgm,0,441,1461,3859,4068,1586,1672,3288,9
8134.pgm,0,428,1254,3361,4288,1703,1502,3838,10
8135.pgm,3,285,978,1913,3947,3498,2170,3554,36
8136.pgm,0,103,8146,7588,473,70,4,0,0
8137.pgm,0,158,9902,6078,228,17,1,0,0
8138.pgm,0,20,504,1478,2404,2386,3439,6121,32
8139.pgm,0,58,709,1876,2721,1956,3881,5172,11
814.pgm,9,985,5216,5078,919,494,2695,924,64
8140.pgm,0,15,248,1144,2006,2650,2609,7619,93
8141.pgm,2,68,1165,3663,2392,1381,6023,1689,1
8142.pgm,5,90,581,1739,1189,1562,8708,2504,6
8143.pgm,3,57,371,449,431,2218,10206,2647,2
8144.pgm,0,28,832,5404,6478,3187,452,3,0
8145.pgm,0,39,1577,6219,5923,2167,439,20,0
8146.pgm,0,138,3903,7395,3182,1306,431,29,0
8147.pgm,0,59,776,1910,2938,5404,4985,312,0
8148.pgm,0,30,596,2636,4388,5372,3090,272,0
8149.pgm,0,18,557,2727,4566,5523,2780,213,0
815.pgm,0,113,2182,4145,2761,2368,4016,799,0
8150.pgm,0,19,444,2303,4388,5810,3193,227,0
8151.pgm,0,15,413,2168,4394,5727,3404,263,0
8152.pgm,11,762,554,1207,3357,3122,3676,3692,3
8153.pgm,11,68,258,819,2399,4819,5013,2995,2
8154.pgm,0,0,0,0,0,1045,14530,809,0
8155.pgm,0,0,12,59,117,1339,14202,655,0
8156.pgm,28,154,169,265,537,7375,7786,70,0
8157.pgm,29,176,167,280,487,758,4958,9500,29
8158.pgm,11,167,138,197,336,568,1923,11830,1214
8159.pgm,25,168,198,330,546,768,2311,11617,421
816.pgm,1,98,1356,4836,5427,2892,774,177,823
8160.pgm,0,1,1,25,138,344,1224,14196,455
8161.pgm,0,0,4,44,298,544,2151,12947,396
8162.pgm,0,43,50,46,162,430,1111,13377,1165
8163.pgm,0,0,55,289,652,2205,4012,8899,272
8164.pgm,4,957,1871,1739,1498,1616,3663,4948,88
8165.pgm,22,1005,1951,2365,2320,1712,2555,4183,271
8166.pgm,5,573,1620,1443,1621,1740,2808,6504,70
8167.pgm,23,1514,3812,3581,2346,2177,1839,1074,18
8168.pgm,0,197,1056,2200,2716,3028,4377,2807,3
8169.pgm,3,116,938,2042,2037,1824,3933,5442,49
817.pgm,16,565,1088,2738,4926,2543,3340,1168,0
8170.pgm,3,139,1179,3345,2844,2166,2711,3987,10
8171.pgm,3,320,1037,1521,2480,2769,3642,4607,5
8172.pgm,2,267,1447,2615,2033,2157,3107,4744,12
8173.pgm,4,471,4288,8899,2613,108,0,1,0
8174.pgm,1,535,6345,5348,3346,791,18,0,0
8175.pgm,32,746,2656,2969,2936,2512,1843,2667,23
8176.pgm,3,745,2475,2866,3352,3368,2739,834,2
8177.pgm,3,506,3139,4101,2756,2675,2518,674,12
8178.pgm,17,792,2431,2706,2512,2075,3362,2478,11
8179.pgm,56,1255,2338,2154,2450,2583,3015,2528,5
818.pgm,0,132,1641,5422,5897,2330,797,164,1
8180.pgm,0,100,1273,4087,4451,4022,1975,476,0
8181.pgm,14,205,852,1385,2092,4553,4172,3074,37
8182.pgm,19,360,575,793,1298,1612,5388,6317,22
8183.pgm,23,249,617,1054,2388,4035,6560,1455,3
8184.pgm,6,421,2085,4687,2411,925,1255,4580,14
8185.pgm,9,1226,5154,3268,2316,1625,1066,1711,9
8186.pgm,2,233,1004,1788,1314,1320,3326,7290,107
8187.pgm,4,498,898,857,1500,1860,2268,8475,24
8188.pgm,4,1692,7341,2791,907,1127,1869,653,0
8189.pgm,0,94,625,1498,1492,2151,4273,6176,75
819.pgm,0,68,645,2515,3969,3022,3340,2784,41
8190.pgm,2,308,1143,1903,2529,4337,2364,3769,29
8191.pgm,0,24,231,1840,5638,4767,2723,1109,52
8192.pgm,0,0,14,825,2718,4473,4071,4262,21
8193.pgm,1,28,82,566,2136,4923,5897,2730,21
8194.pgm,0,179,1167,2551,3282,1764,2927,4466,48
8195.pgm,7,182,960,2464,3738,3645,3647,1578,163
8196.pgm,0,101,1397,1738,2494,2600,1490,6381,183
8197.pgm,1,170,940,1902,3105,3868,3942,2442,14
8198.pgm,0,210,2176,4164,3668,2634,2839,692,1
8199.pgm,0,0,0,6,127,2047,10695,3502,7
82.pgm,9,370,983,2442,2473,3274,3997,2836,0
820.pgm,1,78,2699,11156,2353,91,5,1,0
8200.pgm,0,0,11,66,426,2705,8547,4558,71
8201.pgm,6,89,281,575,1284,1786,7337,5021,5
8202.pgm,1,87,400,887,1404,2189,6393,5008,15
8203.pgm,35,407,704,1266,1727,3105,4557,4277,306
8204.pgm,35,606,1107,2031,2291,3111,3205,3769,229
8205.pgm,4,403,1100,1717,2371,3212,3388,4005,184
8206.pgm,0,74,1014,1760,2791,2742,4007,3900,96
8207.pgm,0,7,46,159,317,561,3666,11562,66
8208.pgm,0,0,40,155,434,1089,4275,10330,61
8209.pgm,0,32,237,445,607,1195,2935,10675,258
821.pgm,1,219,2146,3222,3151,4094,2790,341,420
8210.pgm,0,192,657,1184,2188,2674,3199,6203,87
8211.pgm,0,2,303,620,781,1971,3667,8886,154
8212.pgm,9,135,1025,3078,4023,3636,3552,925,1
8213.pgm,1,143,1230,2659,2958,3795,5162,436,0
8214.pgm,0,489,1816,1490,4001,6748,1761,79,0
8215.pgm,0,201,1455,2710,3484,3447,3229,1858,0
8216.pgm,0,353,4674,6013,3889,1216,239,0,0
8217.pgm,20,1016,5591,5077,2753,1532,378,12,5
8218.pgm,1,208,4376,5919,3878,1761,235,6,0
8219.pgm,0,244,6272,6484,1900,1171,300,13,0
822.pgm,7,199,3109,7226,3038,2058,526,77,144
8220.pgm,0,365,5807,6671,2198,1018,322,3,0
8221.pgm,0,335,5654,6221,2521,926,627,100,0
8222.pgm,0,696,3659,4108,3013,2126,1116,1663,3
8223.pgm,60,798,1450,2909,3335,2438,4220,1174,0
8224.pgm,1,1201,7929,5826,1172,119,118,18,0
8225.pgm,0,151,2289,5459,4295,2863,1293,34,0
8226.pgm,0,103,2121,5462,5819,2515,354,10,0
8227.pgm,20,762,2458,2546,2472,2378,4545,1203,0
8228.pgm,65,2004,2618,2327,2602,4607,2139,22,0
8229.pgm,0,151,880,2867,4478,3302,4322,384,0
823.pgm,0,52,612,2001,2655,3108,5664,2268,24
8230.pgm,0,0,0,0,0,897,14601,886,0
8231.pgm,0,0,0,0,0,0,871,15358,155
8232.pgm,0,22,132,573,1086,2206,4923,7240,202
8233.pgm,0,0,43,255,495,883,6264,8430,14
8234.pgm,0,0,4,51,173,475,2689,12525,467
8235.pgm,0,0,22,149,438,808,3537,11164,266
8236.pgm,0,198,1918,2099,1327,1788,1729,7287,38
8237.pgm,2,171,480,1603,4357,4025,2518,3201,27
8238.pgm,18,338,1030,1945,2412,2329,2699,5493,120
8239.pgm,0,0,29,191,812,1841,3996,9469,46
824.pgm,2,174,725,1608,1899,1989,3081,6829,77
8240.pgm,0,14,773,1856,4375,6538,2544,280,4
8241.pgm,3,62,434,1078,2098,3195,3897,4864,753
8242.pgm,4,66,482,1373,2656,3914,4221,3311,357
8243.pgm,10,334,1616,3678,4261,2489,1345,2448,203
8244.pgm,5,144,681,1671,2199,2388,2643,5293,1360
8245.pgm,0,32,1092,3755,3433,3174,4136,760,2
8246.pgm,0,41,140,334,714,1331,5612,8158,54
8247.pgm,1,135,682,1446,1141,1361,4169,7364,85
8248.pgm,2,190,480,699,1788,5028,6715,1347,135
8249.pgm,0,7,66,296,471,856,3321,9835,1532
825.pgm,0,1,31,406,2165,4725,6760,2290,6
8250.pgm,0,11,81,366,483,1203,6020,8196,24
8251.pgm,0,19,67,349,501,1165,5908,8358,17
8252.pgm,4,23,80,376,806,2359,9785,2951,0
8253.pgm,0,24,86,341,669,2010,9270,3983,1
8254.pgm,0,31,84,401,807,1984,9422,3655,0
8255.pgm,31,412,393,426,913,2058,5406,6602,143
8256.pgm,2,167,783,1067,1132,1953,4873,6161,246
8257.pgm,14,18,26,77,176,381,1393,12616,1683
8258.pgm,1,189,486,695,1119,1481,6838,5569,6
8259.pgm,3,191,468,598,1095,1678,6738,5602,11
826.pgm,41,1577,2773,2328,2966,3469,3011,219,0
8260.pgm,1,232,2603,4046,3081,2746,2179,1480,16
8261.pgm,0,61,730,4286,5618,2882,2467,340,0
8262.pgm,0,3,251,2541,5254,3432,3604,1298,1
8263.pgm,0,3,240,1495,4527,4542,4685,886,6
8264.pgm,0,114,2829,3013,3403,3092,2557,1367,9
8265.pgm,0,38,1723,2300,2770,3405,3601,2408,139
8266.pgm,0,265,743,879,1028,4857,7144,1468,0
8267.pgm,0,124,475,621,1286,4228,7892,1750,8
8268.pgm,0,366,920,880,1178,4314,7146,1575,5
8269.pgm,0,5,414,2720,4568,4977,2897,789,14
827.pgm,0,95,790,1272,1650,4063,7617,892,5
8270.pgm,49,170,381,1314,2230,2431,6264,3544,1
8271.pgm,49,160,371,1192,2142,2395,6498,3576,1
8272.pgm,22,175,620,2284,3226,3725,5273,1059,0
8273.pgm,2,84,430,1316,2666,4373,6486,1025,2
8274.pgm,1,186,1466,2561,4593,5089,2280,208,0
8275.pgm,0,48,399,305,1186,2359,8729,3356,2
8276.pgm,0,85,399,349,1388,2139,4854,7111,59
8277.pgm,4,338,409,1022,1882,2103,3512,7085,29
8278.pgm,0,31,142,387,822,1534,3220,8612,1636
8279.pgm,2,36,404,785,1771,6346,6983,57,0
828.pgm,0,145,1809,1690,2142,4721,5037,839,1
8280.pgm,0,120,216,374,332,573,1451,12903,415
8281.pgm,0,76,179,548,485,398,871,13403,424
8282.pgm,0,85,198,428,353,414,901,13555,450
8283.pgm,2,19,133,424,698,983,1753,11625,747
8284.pgm,23,724,2130,5280,4805,2415,841,155,11
8285.pgm,7,521,2429,4890,4325,2486,1288,437,1
8286.pgm,0,0,0,0,14,77,1631,14258,404
8287.pgm,0,0,0,0,11,64,1629,14227,453
8288.pgm,0,6,378,848,921,727,1400,11715,389
8289.pgm,0,171,731,879,658,569,2029,11013,334
829.pgm,0,158,622,1460,2696,5531,3550,2366,1
8290.pgm,0,208,956,701,499,428,857,12372,363
8291.pgm,0,270,1749,2194,1539,1469,2743,6250,170
8292.pgm,1,254,1539,1764,3111,4109,3160,2417,29
8293.pgm,1,65,851,1961,2197,4700,3419,3101,89
8294.pgm,2,186,1557,1762,4200,4360,3083,1232,2
8295.pgm,0,1,22,97,172,2118,6996,6584,394
8296.pgm,0,11,252,1443,2174,3551,5637,3302,14
8297.pgm,0,21,368,1864,2323,4441,5922,1444,1
8298.pgm,0,0,58,590,1730,3016,4781,5873,336
8299.pgm,0,2,37,157,261,436,1822,12518,1151
83.pgm,37,1351,4094,2403,1823,2239,2696,1597,144
830.pgm,2,52,935,2554,3272,3790,3495,562,1722
8300.pgm,1,64,474,807,1186,2098,3555,8015,184
8301.pgm,321,2828,2866,3424,3514,1663,928,783,57
8302.pgm,9,758,4700,7143,2392,752,589,41,0
8303.pgm,5,1185,7306,4816,1907,817,302,36,10
8304.pgm,54,862,3694,5906,3001,1686,821,359,1
8305.pgm,59,2112,6601,5545,1349,504,178,22,14
8306.pgm,2,142,2535,8530,4434,604,128,9,0
8307.pgm,3,257,3412,6468,3262,723,776,1482,1
8308.pgm,2,166,2262,9049,4378,429,95,3,0
8309.pgm,1,168,2548,8247,4770,568,76,6,0
831.pgm,47,3270,7408,2299,428,180,1730,1022,0
8310.pgm,120,1482,1652,2734,4676,3103,1026,1241,350
8311.pgm,37,1638,5135,5603,2459,1193,311,8,0
8312.pgm,99,1969,5087,5692,2400,852,256,20,9
8313.pgm,5,443,3135,4350,3646,3142,1576,87,0
8314.pgm,7,236,1349,2833,3625,3814,2912,1597,11
8315.pgm,27,736,2979,4648,2373,2331,2876,414,0
8316.pgm,18,946,3859,3468,2513,2602,2315,663,0
8317.pgm,5,643,4776,5744,3623,1447,145,1,0
8318.pgm,3,573,4555,5725,3817,1549,161,1,0
8319.pgm,3,536,4540,5672,3924,1588,121,0,0
832.pgm,0,67,323,556,665,1072,6725,6945,31
8320.pgm,8,473,3903,5262,3634,2618,486,0,0
8321.pgm,10,439,3060,6181,4743,1846,105,0,0
8322.pgm,17,758,3315,6675,3704,1582,322,11,0
8323.pgm,14,654,3340,7406,3528,1030,401,11,0
8324.pgm,5,526,2502,4555,4885,2713,1027,170,1
8325.pgm,12,582,2515,4640,4891,2426,1043,266,9
8326.pgm,10,951,6591,5655,1710,936,497,34,0
8327.pgm,7,713,5414,5989,2253,1118,768,122,0
8328.pgm,253,5615,4666,2007,2491,1088,254,10,0
8329.pgm,7,319,3551,6878,4030,1077,473,49,0
833.pgm,0,124,1016,3486,6600,2510,2232,416,0
8330.pgm,1,362,1347,2291,2960,3764,3926,1732,1
8331.pgm,0,202,1283,1003,1402,2044,1891,8090,469
8332.pgm,0,0,452,2471,3652,4301,3102,2394,12
8333.pgm,0,1,580,2497,4177,4213,2847,2039,30
8334.pgm,0,185,5748,8748,1680,23,0,0,0
8335.pgm,99,1285,1738,2832,5087,3238,766,1312,27
8336.pgm,0,2,587,4863,5022,2580,2953,377,0
8337.pgm,0,294,778,766,957,2223,4065,6984,317
8338.pgm,0,2,45,221,825,822,1633,11304,1532
8339.pgm,2,58,151,198,337,396,1715,13156,371
834.pgm,2,535,2191,2182,2928,2885,3223,2437,1
8340.pgm,0,23,167,276,325,439,1749,13087,318
8341.pgm,1,9,261,647,1154,1946,6568,5771,27
8342.pgm,2,30,242,469,525,1088,5251,8754,23
8343.pgm,0,3,144,347,605,816,1915,11991,563
8344.pgm,1,16,196,568,682,972,2128,11468,353
8345.pgm,2,237,1512,3890,5485,4235,974,49,0
8346.pgm,2,123,1182,4889,4955,3238,1472,517,6
8347.pgm,0,3,29,291,972,2016,4705,8315,53
8348.pgm,2,3,75,421,1158,2608,6374,5714,29
8349.pgm,1,4,47,406,1217,2627,6351,5713,18
835.pgm,6,729,2341,2748,2817,2991,3097,1653,2
8350.pgm,6,389,1543,2271,5782,5030,1074,284,5
8351.pgm,23,624,1967,2521,3559,3730,2346,1590,24
8352.pgm,17,834,2438,2671,3458,3052,2056,1808,50
8353.pgm,0,0,267,3582,7842,3764,821,104,4
8354.pgm,30,753,2498,3189,3078,2843,3241,715,37
8355.pgm,3,179,1467,3014,3079,3315,2177,3104,46
8356.pgm,1,858,2371,1817,2450,3205,3697,1947,38
8357.pgm,2,508,2505,1758,2265,3091,3438,2673,144
8358.pgm,1,34,318,865,1311,1755,3559,8107,434
8359.pgm,0,56,488,1135,1584,1689,3286,7928,218
836.pgm,0,57,2240,6129,4420,2218,735,583,2
8360.pgm,0,62,483,813,1135,1494,3405,8640,352
8361.pgm,0,69,446,974,1450,1637,3380,8191,237
8362.pgm,1,24,36,86,150,419,1856,11963,1849
8363.pgm,0,19,42,108,179,404,1690,11827,2115
8364.pgm,1,21,51,131,288,575,2221,12037,1059
8365.pgm,0,14,341,1211,2242,2313,1788,8331,144
8366.pgm,0,8,350,1156,2379,2396,2469,7572,54
8367.pgm,0,19,208,570,1133,2223,3822,8294,115
8368.pgm,0,1,44,297,1038,2533,4501,7643,327
8369.pgm,0,9,120,574,2158,3798,5236,4465,24
837.pgm,0,12,175,2470,5779,1042,1043,5832,31
8370.pgm,9,223,1938,2097,1628,1560,2693,5835,401
8371.pgm,11,187,1713,2388,1864,1799,3473,4875,74
8372.pgm,5,26,624,1989,2181,2654,7425,1478,2
8373.pgm,4,33,760,2015,2285,3460,7027,800,0
8374.pgm,10,104,664,1916,2522,4288,6614,266,0
8375.pgm,3,787,1175,1314,1725,3136,6557,1687,0
8376.pgm,0,0,0,41,408,1264,4657,9932,82
8377.pgm,0,1,22,167,640,1546,4688,9294,26
8378.pgm,0,0,9,150,1584,3178,3546,7347,570
8379.pgm,0,1,18,34,230,1333,5040,9169,559
838.pgm,1,364,2869,3951,2358,2098,3828,914,1
8380.pgm,0,1,11,31,253,1349,4730,9433,576
8381.pgm,0,0,5,31,237,1278,4710,9514,609
8382.pgm,0,255,7832,5633,1559,641,244,220,0
8383.pgm,0,744,6402,5779,2299,723,191,241,5
8384.pgm,125,2265,1746,1355,1956,2707,2138,4068,24
8385.pgm,5,442,1041,1143,1683,2424,4230,5375,41
8386.pgm,13,989,2953,2547,2068,2312,1928,3552,22
8387.pgm,7,1024,3007,2461,1787,1800,1311,4946,41
8388.pgm,0,124,448,930,2204,3772,4356,4464,86
8389.pgm,0,512,1476,1224,1257,1655,3890,6125,245
839.pgm,0,110,1798,3630,3240,2608,3338,1656,4
8390.pgm,16,184,659,901,1642,2751,4376,5825,30
8391.pgm,0,241,1053,582,565,1246,10511,2186,0
8392.pgm,0,0,319,482,514,1057,10431,3581,0
8393.pgm,0,1,545,660,843,7654,6614,67,0
8394.pgm,0,1,389,590,876,7723,6683,122,0
8395.pgm,0,0,0,38,176,1172,4020,10843,135
8396.pgm,0,50,339,814,1211,2192,9700,2078,0
8397.pgm,0,42,304,804,1213,2325,9511,2184,1
8398.pgm,0,18,190,400,1031,2029,4610,8099,7
8399.pgm,0,17,215,427,1142,1949,4658,7970,6
84.pgm,0,32,117,186,744,2973,10466,1822,44
840.pgm,2,427,3375,7458,3050,892,868,307,5
8400.pgm,0,5,40,320,296,565,7974,7184,0
8401.pgm,0,16,129,253,258,658,8794,6276,0
8402.pgm,0,22,123,266,235,679,8784,6274,1
8403.pgm,0,0,115,544,3297,10324,2100,4,0
8404.pgm,0,0,415,968,1395,5595,7806,205,0
8405.pgm,0,167,154,487,2092,1482,3795,7169,1038
8406.pgm,0,190,188,553,3913,1932,4103,5233,272
8407.pgm,0,210,270,604,4198,4267,2783,3597,455
8408.pgm,0,0,79,363,547,1384,5981,8019,11
8409.pgm,0,0,83,381,625,1497,6023,7770,5
841.pgm,3,121,1956,7025,3968,1865,301,77,1068
8410.pgm,0,5,199,586,1167,2095,5714,6612,6
8411.pgm,0,8,204,560,1154,2126,5760,6565,7
8412.pgm,0,6,440,645,2899,4384,2526,5119,365
8413.pgm,0,5,146,616,1365,2783,5660,5649,160
8414.pgm,0,12,181,1034,2203,3460,5495,3967,32
8415.pgm,0,63,302,765,1777,3618,5643,4196,20
8416.pgm,0,45,551,785,994,1425,3861,8685,38
8417.pgm,0,22,158,371,589,1120,7863,5802,459
8418.pgm,0,194,1303,2707,4799,5520,1749,103,9
8419.pgm,21,446,944,3049,5052,5776,1084,12,0
842.pgm,55,271,1003,3149,2925,2393,3717,2867,4
8420.pgm,0,83,1209,5399,7253,1877,382,180,1
8421.pgm,0,326,1821,5778,5908,1617,672,260,2
8422.pgm,1,238,2038,3762,4969,4516,819,41,0
8423.pgm,0,71,201,1123,2310,2573,3077,6985,44
8424.pgm,0,202,752,2314,2591,1774,1713,7001,37
8425.pgm,4,75,508,1287,1880,3715,4935,3927,53
8426.pgm,0,0,46,314,979,2367,5670,6805,203
8427.pgm,23,250,764,1321,2336,3819,4225,3330,316
8428.pgm,19,91,431,1645,3781,5823,4171,420,3
